source,text,html
cloudflare_Made_in_CA_Grocery_Guide,"Brand
	
Products
	
Manufactured In","<th class=""column-1 dt-orderable-asc dt-orderable-desc"" data-dt-column=""0"" rowspan=""1"" colspan=""1""><div class=""dt-column-header""><span class=""dt-column-title"">Brand</span><span class=""dt-column-order"" role=""button"" aria-label=""Brand: Activate to sort"" tabindex=""0""></span></div></th><th class=""column-2 dt-orderable-asc dt-orderable-desc"" data-dt-column=""1"" rowspan=""1"" colspan=""1""><div class=""dt-column-header""><span class=""dt-column-title"">Products</span><span class=""dt-column-order"" role=""button"""
cloudflare_Made_in_CA_Grocery_Guide,"Bassili's Best	Frozen chicken lasagna, meat lasagna, shepherd’s pie, and carbonara	Edmonton, Alberta","
	<td class=""column-1"">Bassili's Best</td><td class=""column-2"">Frozen chicken lasagna, meat lasagna, shepherd’s pie, and carbonara</td><td class=""column-3"">Edmonton, Alberta</td>
"
cloudflare_Made_in_CA_Grocery_Guide,"BC Hot House Foods	Fresh produce (tomatoes, peppers, cucumbers, eggplant)	Surrey, B.C.","
	<td class=""column-1"">BC Hot House Foods</td><td class=""column-2"">Fresh produce (tomatoes, peppers, cucumbers, eggplant)</td><td class=""column-3"">Surrey, B.C.</td>
"
cloudflare_Made_in_CA_Grocery_Guide,"Bergen Farms	Fresh and frozen berries	British Columbia, Canada","
	<td class=""column-1"">Bergen Farms</td><td class=""column-2"">Fresh and frozen berries</td><td class=""column-3"">British Columbia, Canada</td>
"
cloudflare_Made_in_CA_Grocery_Guide,"Cedar Phoenicia	Pearl barley, soft wheat, brick pastry sheets, and couscous (along with imported Mediterranean and Middle Eastern products)	Canada","
	<td class=""column-1"">Cedar Phoenicia</td><td class=""column-2"">Pearl barley, soft wheat, brick pastry sheets, and couscous (along with imported Mediterranean and Middle Eastern products)</td><td class=""column-3"">Canada</td>
"
cloudflare_Made_in_CA_Grocery_Guide,"Cheemo Perogies	Cheddar cheese, bacon, three cheese, feta, sour cream and chives, mushroom, garlic, cottage cheese, and onion perogies.	Edmonton, Alberta","
	<td class=""column-1"">Cheemo Perogies</td><td class=""column-2"">Cheddar cheese, bacon, three cheese, feta, sour cream and chives, mushroom, garlic, cottage cheese, and onion perogies. </td><td class=""column-3""> Edmonton, Alberta</td>
"
cloudflare_Made_in_CA_Grocery_Guide,Comeback Snacks	Flavoured popcorn	Ontario,"
	<td class=""column-1"">Comeback Snacks</td><td class=""column-2"">Flavoured popcorn</td><td class=""column-3"">Ontario</td>
"
cloudflare_Made_in_CA_Grocery_Guide,"CO-OP Store Brand	Gold, Gold Pure, Market Town,¢entsibles, Care+, Lucky Dragon, and Co-Operative Coffee	Western Canada","
	<td class=""column-1"">CO-OP Store Brand</td><td class=""column-2"">Gold, Gold Pure, Market Town,¢entsibles, Care+, Lucky Dragon, and Co-Operative Coffee</td><td class=""column-3"">Western Canada</td>
"
cloudflare_Made_in_CA_Grocery_Guide,"Crofter’s Organic	Premium fruit spreads	Parry Sound, Ontario","
	<td class=""column-1"">Crofter’s Organic</td><td class=""column-2"">Premium fruit spreads</td><td class=""column-3"">Parry Sound, Ontario</td>
"
cloudflare_Made_in_CA_Grocery_Guide,"Dennis’ Horseradish	Horseradish (mild to extra hot), zesty seafood sauce	Delhi, Ontario","
	<td class=""column-1"">Dennis’ Horseradish</td><td class=""column-2"">Horseradish (mild to extra hot), zesty seafood sauce</td><td class=""column-3"">Delhi, Ontario</td>
"
